dataset,method,method_display,raw_method_key,seed,edge_removal_rate,test_macro_f1,val_macro_f1,test_accuracy,test_worst_class_f1,train_seconds,prune_seconds,giant_component_ratio,bridge_preservation,minority_degree_retention,minority_isolation_rate,clustering,num_components,degree_ks,retained_edge_ratio,source_file
facebook,cailp_a31,Task-only,cailp_a31,3,0.2,0.9018672332849235,0.8973594809297665,0.9083222073876279,0.8541996830427893,1214.818191208,0.03983012500066252,0.6897196261682244,0.3081062899428187,0.5601048430930549,0.5100691313495642,0.251521226865751,6906.0,0.3185135736537606,0.7999976583949469,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.3,0.8855166905738431,0.8901417450372919,0.8918558077436582,0.8417670682730923,1214.818191208,0.027482583000164595,0.5904761904761905,0.24587958291288262,0.3912156789343889,0.6684700931770363,0.21508169841282476,9120.0,0.4280818869603916,0.6999994145987367,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.4,0.879736313795567,0.8889758554409463,0.8865153538050734,0.833467417538214,1214.818191208,0.033943374999580556,0.49523809523809526,0.21459804910864447,0.29019936003949237,0.7679591223324316,0.18451698007462408,11168.0,0.514419225634179,0.6000011708025266,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.5,0.8831029923612138,0.887243180562716,0.8889630618602581,0.8416,1214.818191208,0.024411791999227717,0.45927903871829107,0.20484359233097882,0.23653546356814503,0.7908025247971145,0.13899330121616338,11896.0,0.5455273698264352,0.4999970729936835,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.6,0.882513130008283,0.8899350447420958,0.888295505117935,0.8420208500400962,1214.818191208,0.03479937500014785,0.4370271473075211,0.20215270770265725,0.2024210186160371,0.8058310790501954,0.10944416293551897,12380.0,0.5688028482421006,0.3999988291974734,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.7,0.8809497962175379,0.8902155143183017,0.8862928348909658,0.8437001594896332,1214.818191208,0.02517325000007986,0.41735647530040054,0.19677093844601412,0.09111211360449142,0.8250676284941388,0.0717864171188096,12815.0,0.5880284824210058,0.3000005854012633,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.8,0.8843916092332017,0.8910701716508898,0.890520694259012,0.841106719367589,1214.818191208,0.025394124999365886,0.3851357365376057,0.18903464513958965,0.04375970722708451,0.8563270213405471,0.025121443781095404,13441.0,0.6180685358255452,0.20000234160505317,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,3,0.9,0.8824172346117858,0.8865916312762119,0.8878504672897196,0.8445146014206788,1214.818191208,0.019170666999343666,0.2925678682688028,0.17490750084090145,0.01951708805499996,0.9044183949504058,0.00133704834513684,15312.0,0.6985758789497107,0.09999824379621011,facebook_seed3_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.1,0.928542475480888,0.9403677827618258,0.9307966177125055,0.9124423963133641,1127.7466088750007,0.09074316599799204,0.9685358255451714,0.9455095862764884,0.8242490422231893,0.0123234144875263,0.2993692018607362,541.0,0.11108144192256342,0.9000017562037899,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.2,0.9197223211073423,0.9318455408286926,0.9221183800623053,0.9023827824750192,1127.7466088750007,0.03537099999812199,0.919537160658656,0.9206189034645139,0.664034140135463,0.045987376014427414,0.26605111786002067,1369.0,0.22692478860703158,0.7999976583949469,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.3,0.9149888682004199,0.9232621552037437,0.9174454828660437,0.8973561430793157,1127.7466088750007,0.033680625001579756,0.8261682242990654,0.8990918264379415,0.5342115043187369,0.10129245566576495,0.2340047117556725,2757.0,0.32033822874944373,0.6999994145987367,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.4,0.9115236300086405,0.9228185896372263,0.9141076991544281,0.8930232558139535,1127.7466088750007,0.026284791998477885,0.7123720516243881,0.8819374369323916,0.45507506310659596,0.15238954012623984,0.2053310801942614,4294.0,0.3953271028037383,0.6000011708025266,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.5,0.9103639491469655,0.9197312200738553,0.9132176234979973,0.8900928792569659,1127.7466088750007,0.02980924999792478,0.6283934134401424,0.8731920618903465,0.39354606658716373,0.18575293056807934,0.1821754643790762,5473.0,0.4475745438362261,0.4999970729936835,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.6,0.912084453816291,0.9204027375434105,0.9145527369826435,0.8951048951048951,1127.7466088750007,0.02699620799830882,0.5701824655095683,0.8634376051126808,0.33959087486844797,0.21520889690411782,0.16628432415553493,6373.0,0.47979528259902093,0.3999988291974734,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.7,0.9094170402916051,0.9192797267854604,0.9121050289274588,0.8899082568807339,1127.7466088750007,0.022196249999979045,0.5160213618157543,0.8546922300706358,0.2252718676197736,0.22993688007213706,0.13796134110081698,7163.0,0.507832665776591,0.3000005854012633,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.8,0.9054822871091079,0.915213137399755,0.9076546506453048,0.8895705521472392,1127.7466088750007,0.020931874998495914,0.4508233199821985,0.849983181971073,0.1627718741055329,0.25819056206792906,0.08243500255084393,8198.0,0.5514463729417001,0.20000234160505317,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,4,0.9,0.9083817277174798,0.914533887147412,0.910547396528705,0.8917881811204912,1127.7466088750007,0.020515208001597784,0.3071651090342679,0.8405650857719476,0.13425685243107166,0.3174030658250676,0.03448219859990027,10673.0,0.6332443257676903,0.09999824379621011,facebook_seed4_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.1,0.928711441905063,0.9260286322752036,0.9307966177125055,0.9121466768525592,2441.2323028749997,0.11417854100000113,0.8610146862483311,0.6444668684830138,0.9722941392715551,0.027953110910730387,0.30520155882521494,2952.0,0.14294615042278597,0.9000017562037899,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.2,0.9232426569854557,0.9137270973326553,0.92456608811749,0.9128440366972477,2441.2323028749997,0.06339933300023404,0.7511348464619493,0.48133198789101916,0.922740776633732,0.06462278328824766,0.2697052928574152,5237.0,0.2411214953271028,0.7999976583949469,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.3,0.9143406768758982,0.9071923748100552,0.9172229639519359,0.8946135831381733,2441.2323028749997,0.04900570800009518,0.654161103693814,0.38647830474268413,0.8395908486562011,0.1145175834084761,0.2344428420851678,7197.0,0.3324432576769025,0.6999994145987367,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.4,0.9031701909265949,0.9013769644620797,0.9067645749888741,0.8784313725490196,2441.2323028749997,0.43861808299971017,0.5501557632398754,0.32593340060544906,0.7244303303619606,0.17703636910129245,0.19819193178782807,9369.0,0.4188251001335114,0.6000011708025266,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.5,0.9012879167830382,0.9019341055081196,0.9056519804183356,0.8714733542319749,2441.2323028749997,0.44542983300016203,0.4564307966177125,0.2885973763874874,0.6130567016311644,0.23143973549744515,0.16820489386044934,11268.0,0.49590565198041836,0.4999970729936835,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.6,0.8988344196769473,0.8985354500549966,0.9032042723631508,0.8684003152088259,2441.2323028749997,0.07054304200028128,0.37627948375611925,0.26538849646821394,0.5102278361851519,0.2921550946798918,0.1414491920896745,12887.0,0.5612817089452604,0.3999988291974734,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.7,0.8987171170474068,0.8961246430128038,0.9020916777926123,0.8753943217665615,2441.2323028749997,0.03771620899988193,0.3009790832220739,0.2462159434914228,0.4241649300601094,0.35617673579801623,0.11889979925759388,14379.0,0.6185135736537606,0.3000005854012633,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.8,0.8988434570832787,0.8972962459655148,0.9023141967067201,0.8753894080996885,2441.2323028749997,0.02888208400008807,0.21513128615932353,0.22939791456441305,0.33043112071856096,0.426209798617373,0.09107009401628748,16039.0,0.6871384067645749,0.20000234160505317,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,5,0.9,0.8984416968181896,0.8972561397075454,0.9020916777926123,0.8726415094339622,2441.2323028749997,0.08852066600002217,0.12438807298620383,0.21796165489404642,0.14995467783070238,0.5049594229035167,0.05685532735774089,17925.0,0.7700934579439253,0.09999824379621011,facebook_seed5_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.1,0.8945385735875261,0.8926817224649539,0.904539385847797,0.8250980392156863,2032.8650274170004,0.1490161250003439,0.7439252336448599,0.2065253952236798,0.6858168937286016,0.4773068830778479,0.2829539449469688,5723.0,0.2542056074766355,0.9000017562037899,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.2,0.8917629725903073,0.8886976392528886,0.9009790832220739,0.8300079808459697,2032.8650274170004,0.03986649999933434,0.6082331998219849,0.13353514968045746,0.5070558861391558,0.6660655244965434,0.2309721775028306,8773.0,0.38980863373386737,0.7999976583949469,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.3,0.8884385485918216,0.8833792862779389,0.8978638184245661,0.8253205128205128,2032.8650274170004,0.031451208000362385,0.5234534935469515,0.11234443323242516,0.359463983494681,0.7592425608656447,0.19648590465092033,10646.0,0.4730752113929684,0.6999994145987367,facebook_seed6_cailp_a31.json
facebook,cailp_a31,Task-only,cailp_a31,6,0.4,0.8886869075250543,0.8835980517893172,0.897196261682243,0.8321285140562249,2032.8650274170004,0.03258149999965099,0.4287939474855363,0.0961991254624958,0.2727861121783627,0.8551247370003006,0.16376610809156264,12704.0,0.5635514018691589,0.6000011708025266,facebook_seed6_cailp_a31.json
