dataset,metric,method_a,method_b,seed_ids,n,mean_diff,ci_low,ci_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,wilcoxon_p_holm,dz,wins,losses,ties
github,sparsity_macro_f1_auc,cailp_social_multi,neuralsparse,0 1 2 3 4 5 6 7 8 9,10,0.008422321544973566,0.006196426215449683,0.010648216874497449,8.559528724514502,1.284711849062373e-05,0.0,0.001953125,0.01171875,2.7067606467101752,10,0,0
github,sparsity_macro_f1_auc,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.0010006660478394046,0.0001054952392577044,0.0018958368564211047,2.528750765824612,0.03230151299001817,11.0,0.10546875,0.10546875,0.7996612054900851,8,2,0
github,sparsity_macro_f1_auc,cailp_social_multi,resistance_style_proxy,0 1 2 3 4 5 6 7 8 9,10,0.002238414055678206,0.0002493697765853075,0.004227458334771105,2.545767554151694,0.031412119825478285,7.0,0.037109375,0.07421875,0.8050423864475397,7,3,0
github,macro_f1_at_0.5,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.0036595646850867023,0.00013115806450825131,0.007187971305665153,2.3462461545714928,0.04357220086989179,6.0,0.02734375,,0.7419481799857399,9,1,0
github,macro_f1_at_0.5,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,-0.003717005639520743,-0.007352198130944012,-8.181314809747441e-05,-2.3130689644769844,0.04600482768547828,7.0,0.037109375,,-0.7314566312794375,2,8,0
github,macro_f1_at_0.5,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,-0.003960237147056867,-0.007755853763173753,-0.00016462053093998022,-2.360269683396203,0.042582548807859076,4.0,0.013671875,,-0.7463828091776507,1,9,0
github,macro_f1_at_0.5,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.0020155484290201864,-0.0007685747095878652,0.004799671567628238,1.6376744449841032,0.1359148404087754,13.0,0.16015625,,0.5178781312001879,8,2,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.026521916428534586,0.002215698551428325,0.05082813430564084,2.468370172800004,0.035665511069738254,1.0,0.00390625,0.015625,0.7805671854471412,9,1,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,0.0029257538393747005,-0.0291884716636549,0.0350399793424043,0.20609293547698915,0.8413049351541318,19.0,0.431640625,0.55078125,0.0651723085777406,7,3,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,-0.023204367388849057,-0.05268624575880218,0.006277510981104063,-1.780481054819114,0.10869360508758441,9.0,0.064453125,0.193359375,-0.5630375464007515,3,7,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,neuralsparse,0 1 2 3 4 5 6 7 8 9,10,0.10369989200377287,0.07480621339159915,0.1325935706159466,8.118919595952514,1.9669559253003e-05,0.0,0.001953125,0.01171875,2.567427806298392,10,0,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.012796080612885985,-0.015988624631067767,0.04158078585683973,1.00562938440993,0.3408639245657293,16.0,0.275390625,0.55078125,0.31800793367284014,8,2,0
lastfm,sparsity_macro_f1_auc,cailp_social_multi,resistance_style_proxy,0 1 2 3 4 5 6 7 8 9,10,0.13443249094340676,0.10410541614218094,0.16475956574463257,10.027588361263726,3.4970990303535647e-06,0.0,0.001953125,0.01171875,3.1710018660188726,10,0,0
lastfm,macro_f1_at_0.5,cailp_social_multi,cailp_a31,0 1 2 3 4 5 6 7 8 9,10,0.03821053144856501,-0.0079578407743109,0.08437890367144092,1.8722390080281832,0.0939625319219771,13.0,0.16015625,,0.5920539589583331,6,4,0
lastfm,macro_f1_at_0.5,cailp_social_multi,original_ilp_gcn,0 1 2 3 4 5 6 7 8 9,10,-0.007813630294306928,-0.05928622778938335,0.04365896720076949,-0.3433994124708968,0.7391835289654887,21.0,0.556640625,,-0.10859242905716637,6,4,0
lastfm,macro_f1_at_0.5,cailp_social_multi,ptdnet,0 1 2 3 4 5 6 7 8 9,10,-0.0197178993732507,-0.06312895235928673,0.023693153612785327,-1.0275030029329957,0.3310058091068047,18.0,0.375,,-0.3249249791930937,3,7,0
lastfm,macro_f1_at_0.5,cailp_social_multi,random,0 1 2 3 4 5 6 7 8 9,10,0.023692956466673853,-0.028418285326831133,0.07580419826017884,1.0285149487064578,0.3305550225153836,11.0,0.10546875,,0.3252449845443658,8,2,0
