dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
lastfm,original_ilp_gcn,ILP-GCN,0.2,10,0.7826556742433067,0.057197208849926386,0.7417392558892545,0.823572092597359,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.3,10,0.8008853725202716,0.019318938574107897,0.787065436394919,0.8147053086456242,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.4,10,0.7915292375559203,0.016055843482240092,0.780043579039432,0.8030148960724086,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.5,10,0.7764208262108838,0.02287096701581504,0.760059922009489,0.7927817304122786,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.6,10,0.7245392124062765,0.04093938936251115,0.6952529374988585,0.7538254873136945,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.7,10,0.7022714267923907,0.03235219214491198,0.6791280627176662,0.7254147908671152,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.8,10,0.6367641056993145,0.029698320131702503,0.6155192072968486,0.6580090041017804,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,0.9,10,0.5696087671705824,0.03533708088891846,0.5443301423192259,0.5948873920219389,0 1 2 3 4 5 6 7 8 9
lastfm,original_ilp_gcn,ILP-GCN,AUC,10,0.5897923251652388,0.01651796316152656,0.5779760861447798,0.6016085641856979,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.1,10,0.7908830698439493,0.02443263936823504,0.7734050125403598,0.8083611271475388,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.2,10,0.788406074130359,0.025445945884687318,0.7702031410123423,0.8066090072483757,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.3,10,0.7946158532509469,0.02520829857582756,0.7765829227765125,0.8126487837253812,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.4,10,0.7888911671987128,0.01908171624432777,0.775240929705223,0.8025414046922026,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.5,10,0.7883250952898277,0.012930731368628852,0.779075007305799,0.7975751832738565,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.6,10,0.7762352513378985,0.016985902889799086,0.7640842684012334,0.7883862342745636,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.7,10,0.7595790177881124,0.018411453624117113,0.7464082572888162,0.7727497782874087,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.8,10,0.7327138107414835,0.019336868717560286,0.7188810481641869,0.74654657331878,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,0.9,10,0.6700333185506211,0.03678371680227349,0.6437198327081954,0.6963468043930467,0 1 2 3 4 5 6 7 8 9
lastfm,ptdnet,PTDNet,AUC,10,0.6159224463934626,0.011469619487765658,0.607717574883831,0.6241273179030942,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.1,10,0.7536517267424587,0.018275493122969316,0.7405782265266002,0.7667252269583172,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.2,10,0.7083614322030087,0.02590680270592085,0.6898288219752509,0.7268940424307666,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.3,10,0.6652794666786778,0.021501497693557237,0.6498982218144992,0.6806607115428563,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.4,10,0.6368312623141349,0.012885087436373201,0.6276138260322617,0.6460486985960081,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.5,10,0.6019628331666586,0.0127651399533807,0.5928312021451,0.6110944641882171,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.6,10,0.5634918987935039,0.024811627556643713,0.5457427296720483,0.5812410679149596,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.7,10,0.5508626468663957,0.021433612870486056,0.535529963879213,0.5661953298535785,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.8,10,0.534150709794108,0.01938390713977202,0.5202842979566353,0.5480171216315806,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,0.9,10,0.5048315136413797,0.027346802790902514,0.48526878940820634,0.524394237874553,0 1 2 3 4 5 6 7 8 9
lastfm,neuralsparse,NeuralSparse,AUC,10,0.48901818700084065,0.009753619903771993,0.48204086764429205,0.49599550635738926,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.1,10,0.797328483190826,0.02939564831038646,0.7763001031659866,0.8183568632156655,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.2,10,0.7816737740009313,0.02785754220839028,0.7617456887982976,0.801601859203565,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.3,10,0.7731156540943755,0.01561556886575829,0.7619449490653188,0.7842863591234323,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.4,10,0.7586078768593423,0.023878265232377908,0.7415263949223395,0.775689358796345,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.5,10,0.7449142394499032,0.03634583031856863,0.7189139987276347,0.7709144801721717,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.6,10,0.7019374053545032,0.035066972950081224,0.6768520040825563,0.7270228066264501,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.7,10,0.6957173807849436,0.036409757613990214,0.6696714092304141,0.7217633523394731,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.8,10,0.6531368219784395,0.025570616741789853,0.6348447047018191,0.6714289392550599,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,0.9,10,0.5829051795988466,0.02119554347636233,0.5677428011968547,0.5980675580008384,0 1 2 3 4 5 6 7 8 9
lastfm,random,Random,AUC,10,0.5799219983917276,0.01776534553710537,0.5672134357744902,0.592630561008965,0 1 2 3 4 5 6 7 8 9
lastfm,resistance_style_proxy,Resistance proxy,0.1,10,0.7410723730866684,0.023560542826091723,0.7242181760671896,0.7579265701061472,0 1 2 3 4 5 6 7 8 9
