dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_social_multi,2,0.5,0.9342796426576556,0.9956386292834891,1.0,0.7257897081830131,1409.8542479169992
facebook,cailp_social_multi,2,0.6,0.9295578752460429,0.9806408544726302,1.0,0.6561366653908391,1409.8542479169992
facebook,cailp_social_multi,2,0.7,0.92911359171295,0.9306186025812194,1.0,0.5730838871767528,1409.8542479169992
facebook,cailp_social_multi,2,0.8,0.9241840793561151,0.8099688473520249,0.9989909182643795,0.43060587722023613,1409.8542479169992
facebook,cailp_social_multi,2,0.9,0.9194573619055074,0.41157098353360033,0.9549276824756139,0.2834347429354583,1409.8542479169992
facebook,cailp_social_multi,3,0.1,0.9357551585220509,1.0,1.0,0.9936560988311692,1200.6430043750024
facebook,cailp_social_multi,3,0.2,0.9372539706302342,1.0,1.0,0.8798873587283478,1200.6430043750024
facebook,cailp_social_multi,3,0.3,0.9390697050196956,0.9994659546061415,1.0,0.8334087963730763,1200.6430043750024
facebook,cailp_social_multi,3,0.4,0.9397163300224638,0.9989764129951045,1.0,0.788516260388458,1200.6430043750024
facebook,cailp_social_multi,3,0.5,0.9377827581169389,0.9932799287939474,1.0,0.7295765977464577,1200.6430043750024
facebook,cailp_social_multi,3,0.6,0.9343023756631179,0.9763684913217624,1.0,0.6415393486090867,1200.6430043750024
facebook,cailp_social_multi,3,0.7,0.9287709408606449,0.9274588340008901,0.9996636394214599,0.5129466431749122,1200.6430043750024
facebook,cailp_social_multi,3,0.8,0.919308913389415,0.8137961726746773,0.989572822065254,0.38729931625861597,1200.6430043750024
facebook,cailp_social_multi,3,0.9,0.9004549551522627,0.4786381842456609,0.8318197107299025,0.21109528068697672,1200.6430043750024
facebook,cailp_social_multi,4,0.1,0.9300196720919769,0.9722741433021806,0.9354187689202825,0.7724947650449199,1221.6435537500001
facebook,cailp_social_multi,4,0.2,0.9227877599911629,0.9344459279038718,0.9206189034645139,0.6381084523384336,1221.6435537500001
facebook,cailp_social_multi,4,0.3,0.920169711558323,0.8838451268357811,0.9128826101580895,0.5409761470965986,1221.6435537500001
facebook,cailp_social_multi,4,0.4,0.9190130750427761,0.8318647085002225,0.9061553985872856,0.47494819740665656,1221.6435537500001
facebook,cailp_social_multi,4,0.5,0.9159138503306763,0.7929238985313751,0.9024554322233435,0.4159761600681171,1221.6435537500001
facebook,cailp_social_multi,4,0.6,0.9140253944008694,0.7616377392078326,0.8994281870164816,0.3694976490605008,1221.6435537500001
facebook,cailp_social_multi,4,0.7,0.9105072449033389,0.7295060080106809,0.8970736629667003,0.24304116012134977,1221.6435537500001
facebook,cailp_social_multi,4,0.8,0.9096747958734263,0.6623943035157989,0.8953918600739993,0.20022007840176317,1221.6435537500001
facebook,cailp_social_multi,4,0.9,0.9082337509932854,0.4484201157098353,0.8920282542885973,0.17940833464034686,1221.6435537500001
facebook,cailp_social_multi,5,0.1,0.9417074805255696,0.988206497552292,0.9458459468550285,0.9955980671469586,2212.755114375
facebook,cailp_social_multi,5,0.2,0.9415441927702257,0.9871829105473965,0.9445005045408678,0.9641053179319077,2212.755114375
facebook,cailp_social_multi,5,0.3,0.9415122626922771,0.9861148197596795,0.9408005381769257,0.8656459838917315,2212.755114375
facebook,cailp_social_multi,5,0.4,0.9395595208234118,0.9842456608811749,0.9387823747056845,0.8442840243321175,2212.755114375
facebook,cailp_social_multi,5,0.5,0.9393328477662166,0.9774365821094793,0.9337369660275816,0.818164139703509,2212.755114375
facebook,cailp_social_multi,5,0.6,0.9367731637694705,0.9516688918558077,0.9300369996636394,0.7665069609410291,2212.755114375
facebook,cailp_social_multi,5,0.7,0.930477658757338,0.8866933689363596,0.9246552304069963,0.6838425250424456,2212.755114375
facebook,cailp_social_multi,5,0.8,0.9256935839213154,0.7412105028927459,0.905146316851665,0.5330786723519747,2212.755114375
facebook,cailp_social_multi,5,0.9,0.9146696906538486,0.4113039608366711,0.8291288261015809,0.3499805594008866,2212.755114375
facebook,cailp_social_multi,6,0.1,0.935661700526412,0.9730307076101469,0.8913555331315169,0.9714202021817947,1137.2987121669994
facebook,cailp_social_multi,6,0.2,0.9345229185759012,0.9684023141967067,0.8812647157753112,0.9453650669462643,1137.2987121669994
facebook,cailp_social_multi,6,0.3,0.9354779101900897,0.9641299510458389,0.8731920618903465,0.8393319024315442,1137.2987121669994
facebook,cailp_social_multi,6,0.4,0.9331088991692135,0.9583444592790387,0.8647830474268415,0.7599365149947463,1137.2987121669994
facebook,cailp_social_multi,6,0.5,0.9297820194025596,0.9460614152202937,0.8560376723847966,0.7050426881408474,1137.2987121669994
facebook,cailp_social_multi,6,0.6,0.9261716941623094,0.9197596795727637,0.8415741675075681,0.6635486480565157,1137.2987121669994
facebook,cailp_social_multi,6,0.7,0.9166857761526307,0.8585669781931464,0.8092835519677094,0.5967439110402579,1137.2987121669994
facebook,cailp_social_multi,6,0.8,0.9092320474255419,0.7088562527814865,0.7204843592330978,0.45387748174675574,1137.2987121669994
facebook,cailp_social_multi,6,0.9,0.9041658254265297,0.42563417890520694,0.5993945509586277,0.21737441854897727,1137.2987121669994
facebook,cailp_social_multi,7,0.1,0.9428490701900203,0.9958611481975967,0.9693911873528422,0.9976371852261926,1408.786120708999
facebook,cailp_social_multi,7,0.2,0.9424816413539848,0.9951045838896306,0.9650184998318198,0.9757249841945531,1408.786120708999
facebook,cailp_social_multi,7,0.3,0.9416517633995494,0.9930574098798398,0.9606458123107972,0.8638010626440765,1408.786120708999
facebook,cailp_social_multi,7,0.4,0.9408423193813488,0.9894971072541165,0.9492095526404305,0.8192969716702713,1408.786120708999
facebook,cailp_social_multi,7,0.5,0.9401144051744703,0.978237650200267,0.9394550958627649,0.757541403622721,1408.786120708999
